title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Milenium Ceramic Switching Non Renewable Biomass Project,"The global warming issue has garnered special attention in the last few years. In Brazil, in contrast to industrialized countries, deforestation activities does more to cause global warming than the burning of fossil fuels.  The project activity consists of the fuel switch in Milenium Ceramic that produces structural ceramic devices like roof tiles. The plant maintains a temperature of 900°C and consumes about 30,000 m³ of native wood from Cerrado per year to feed the kilns, producing around 1,000,000 ceramic devices per month. This firewood used in the ceramic was supplied by the state of Tocantins, which is located in the north region of Brazil.",Tocantins,Multiple Proponents,,Registered,23371,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/09/2007 - 31/08/2017",,,,,,53
Cenol and Telha Forte Ceramics Switching Fuel Project,"The project activity involves Cenol and Telha Forte Ceramics, which are two small and prototypical ceramic industries that produce structural ceramic devices such as bricks. These devices are destined for the local market in São Miguel do Guamá, in the state of Pará. The ceramic pieces produced in Cenol and Telha Forte ceramics obey the ABNT1 norms. The fuel that is employed in the baseline scenario to cook the ceramic devices was native wood from the Amazonian biome.  The Amazonian Biome has a diversity of fauna and flora in a region of approximately 7 million km². Nowadays, the uncontrolled deforestation is breaking up the firm land forest. Without necessary care, entire regions of fauna and old centers of species have the  risk to disappear forever.",Pará,Multiple Proponents,,Registered,31878,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"2nd, 01/11/2017 - 31/10/2027",,,,,,54
Lucevans Ceramic Fuel Switching Project,"Lucevans Ceramic is a small ceramic industry that produces ceramic devices, bricks, for the local market in Panorama city, in the state of São Paulo. The ceramic is involved in an innovative activity, the switching fuel of its burning process.  The project activity consists of utilizing sugar cane bagasse, sawdust and peanut shells to feed the ceramic’s kilns, replacing the use of wood from areas with non sustainable forest management, which does not have any kind of contribution to the level of biodiversity enrichment. The ceramic company can use those renewable biomasses.  This project pointed out the possibility to switch non-renewable biomass for renewable biomasses, which was unattractive due to high investments on the adaptation of machineries to work with the new biomasses and other barriers. The ceramic owner considered the income from the commercialization of the carbon credits to become the project activity viable.",San Paulo,"Cerâmica Lucevans Ltda. – ME.
São Paulo, Brazil",,Registered,9144,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/09/2007 - 31/08/2017",,,,,,55
"Manasi River Stage I Hydropower Project of Hongshanzui Hydropower Plant, Xinjiang Tianfu Thermoelectric Co., Ltd.","The project is located on the Manasi River, in Manasi County, Shihezi City, Xinjiang Uygur Autonomous Region, P.R. China. The project consists of an inhaul hinge, an intake power tunnel of 11.8km, a 50MW (9MW ¡Á 2 + 16MW ¡Á 2) powerhouse, an 110kV switchyard and 110kV transmission lines for power evacuation.",Xinjiang Uygur Autonomous Region,"Xinjiang Tianfu Thermoelectric Co., Ltd.
Uttarakhand, India",,Registered,150000,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"3rd, 01/01/2021 - 31/12/2027",,,,,,56
Pubu Hydropower Station Project,"The project activity comprises of a run-of-river hydropower station. It will export renewable hydropower to the Central China Grid, replacing electricity from fossil fuel based power plants connected to the Central China Grid, therefore reducing greenhouse gas emissions.  Purpose of the project activity: The main purpose of the project activity is to generate electricity through sustainable means using hydropower resources, selling the generated output to the state owned Central China Power Grid (CCPG) utility. The project activity will contribute to climate change mitigation efforts and to the sustainable development goals of China.",Sichuan Province,"Panzhihua Reshuihe Electric Power Development Co.
Ankara, Turkey
0090-312-287 51 22
melcopeland@re-consult.net",,Registered,8746,,,Energy industries (renewable/non-renewable sources),,"ACM0002,AMS-I.D.",,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2008 - 31/12/2014",,,,,,58
Biomass powered process heat production and use project at Kangwal,"The project activity comprises of the generation of thermal energy for a thermal oil heater using biomass waste generated in provinces nearby the plant. The biomass waste i.e rice husk, wood chips, palm and coconut shells, which are all abundantly available for the project activity, would have been burned in the fields or left to decay. The project design comprises of the installation of a 6.98 MWth (6 x106 kCal/h) biomass boiler in Khaoyoi, Phetchaburi in Thailand. The project is developed by Kangwal Polyester Co. Ltd. (a private entity hereafter referred to as the Project Owner). The generated thermal energy will be used as process heat in the form of thermal oil for the polyester production process in their own company. Kangwal Polyester Co. Ltd. is a Thai company manufacturing polyester chips, partial-oriented yarn, staple fibre and draw textured yarn at the above mentioned location.",Phetchaburi province,"Kangwal Polyester Co.,Ltd
Colombia",,Registered,21885,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,SGS United Kingdom Ltd. (SGS),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/08/2005 - 31/07/2015",,,,,,59
Irmãos Fredi Ceramic Fuel Switching Project,"The global warming issue has received an absolutely special treatment in the last years. In Brazil, differently from the industrialized countries, the contribution to global warming is produced less by the burning of fossil fuels and more by deforestation. Consequently, innovative actions like the one in the present project activity are very important, since they contribute to minimize Brazilian deforestation rates.  The project activity consists of the fuel switch at Irmãos Fredi Ceramic which produces structural ceramic devices like bricks, for the local market of Presidente Epitácio and its surroundings in São Paulo State. The plant used to consume about 24,000 tonnes of native wood (or 3,500 m³ of wood per month) from Cerrado Biome1 per year to feed the kilns and reach a temperature of 900oC to produce around 750,000 roof tiles and 200,000 ceramic blocks per month2.",San Paulo,Multiple Proponents,,Late to verify,28990,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Tuev Nord Cert GmbH (Tuev Nord),01/07/2011,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2013",,,,,,60
Tapajós Ceramic Fuel Switching Project,"Paulicéia is located in the western region of the São Paulo state, which is to the southeast of Mato Grosso do Sul. The city has 5,302 inhabitants, in accordance to IBGE, and occupies an area of approximately 373 km2.  The project proponent is Tapajós Ceramic, a small and prototypical red ceramic, located in this municipality previously described. The proponent mainly produces blocks, structural ceramic devices, for the market in the west region of São Paulo.  Due to the necessary heat to fire its devices, for almost 20 years the ceramic company has used native wood from the Cerrado forest. The company used about 13,200 m³ of wood per year to supply the kilns and maintained a temperature of 950ºC for 30 hours to produce about 800,000 ceramic blocks per month. This has led to the deforestation of the biome, located in the state of Mato Grosso do Sul, an area geographically limited to the southeast by São Paulo.",São Paulo.,Multiple Proponents,,Registered,10622,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Tuev Nord Cert GmbH (Tuev Nord),07/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",,,,,,61
Yunnan Dehong Longchuan Bienaihe 1st and 2nd Level Hydropower Stations,"The proposed project is located on the middle and lower reaches of the Bienai River, which is a secondary branch of the Long River that is in Longchuan County, Dehong Dai-Jingpo Autonomous Prefecture, Yunnan Province, China. The project involves the construction and operation of two small-scale run-of-river hydropower stations. The total installed capacity of the project is 10.5MW, and the average annual electricity supply to the grid is 44,848MWh.  The installed capacity of the Bienaihe 1st level hydropower station is 2.5MW, and this hydropower station is expected to operate 4,320 hours per year. The expected annual net electricity supply to the grid is 10,800MWh. The installed capacity of the Bienaihe 2nd level hydropower station is 8MW, and this hydropower station is expected to operate 4,256 hours per year. The expected annual net electricity supply to the grid is 34,048MWh. The total expected power supplied to the grid by the two projects is 44,848MWh.",Yunnan Province,"Longchuan Minhong Hydro Power Co., Ltd.
Madhya Pradesh, India
+91-731-4203008
mail@kalanigroup.com",,Registered,34907,,,Energy industries (renewable/non-renewable sources),,"ACM0002,AMS-I.D.",,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"3rd, 28/03/2020 - 27/03/2027",,,,,,62
"Argibem, São Sebastião and Vulcão Ceramics Fuel Switching Project","The project activity is the grouping project of Argibem, São Sebastião and Vulcão Ceramics, which are three small and prototypical ceramic industries that produce structural ceramic devices like bricks. Argibem ceramic produces for the marketing of the states of Rio de Janeiro and Minas Gerais. São Sebastião ceramic attends the market of Médio Paraíba, Vale do Aço. The last ceramic is Vulcão, which is focused on the market of Baixada Fluminense.  The activity of this grouping consists on utilizing wood from afforestation and wood residues, which are renewable biomasses, to feed the kilns rather than using a non-renewable fuel like heavy oil. Such a switch was a pioneering practice in the region.",Rio de Janeiro,Multiple Proponents,,Registered,20814,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,Tuev Nord Cert GmbH (Tuev Nord),18/06/2012,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",,,,,,63
Gomes de Mattos Ceramic Fuel Switching Project,"The accelerating destruction of forests around the world is being recognized as one of the main causes of climate change. Carbon emissions from deforestation far outstrip damage caused by planes and automobiles and factories. One of the main reasons for deforestation is the demand for fuel. Ceramic companies are well known for their great demand of fuel to maintain their burning processes. Therefore, the project activity in Gomes de Mattos Ceramic will indirectly contribute to minimize this problem in the Caatinga biome by displacing the use of native forests wood without sustainable forest management with thermal energy generation.",Ceará,Multiple Proponents,,Registered,47997,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"2nd, 01/05/2016 - 30/04/2026",,,,,,64
